genres,id,imdb_id,original_title,overview,poster_path,release_date,revenue,runtime,spoken_languages,tagline,title,vote_average,vote_count,backdrop_path,cast,crew,keywords
"[""Comedy"", ""Thriller"", ""Crime""]",8012,tt0113161,Get Shorty,"Chili Palmer is a Miami mobster who gets sent by his boss, the psychopathic ""Bones"" Barboni, to collect a bad debt from Harry Zimm, a Hollywood producer who specializes in cheesy horror films. When Chili meets Harry's leading lady, the romantic sparks fly. After pitching his own life story as a movie idea, Chili learns that being a mobster and being a Hollywood producer really aren't all that different.",/r82SdPhg4fnIcLt0ogIjQxqjdcO.jpg,10/20/1995,115101622,105,"[""English""]","The mob is tough, but it’s nothing like show business.",Get Shorty,6.4,305,/7mbBY0I99nLegO8rcmdLKSU8y28.jpg,"[""John Travolta"", ""Gene Hackman"", ""Rene Russo"", ""Danny DeVito"", ""Dennis Farina"", ""Delroy Lindo"", ""James Gandolfini"", ""Jon Gries"", ""Renee Props"", ""David Paymer"", ""Martin Ferrero"", ""Miguel Sandoval"", ""Jacob Vargas"", ""Bobby Slayton"", ""Linda Hart"", ""Jeffrey J. Stephen""]","[""Barry Sonnenfeld"", ""Danny DeVito"", ""Michael Shamberg"", ""Stacey Sher""]","[""gambling"", ""miami"", ""based on novel"", ""job"", ""murder"", ""travel"", ""mafia"", ""money"", ""debt"", ""mobster"", ""business"", ""hollywood"", ""gangster"", ""crime"", ""violence"", ""drug"", ""producer"", ""con""]"
"[""Drama"", ""Thriller""]",1710,tt0112722,Copycat,An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past.,/lKNjGQXTy5WkSjAtLzLzAN9IHCD.jpg,10/27/1995,0,124,"[""English"", ""Deutsch""]","One man is copying the most notorious killers in history one at a time. Together, two women must stop him from killing again. Or they're next.",Copycat,6.5,199,/fYER1mVSnBVsPBSC7IAN0bbscGN.jpg,"[""Sigourney Weaver"", ""Holly Hunter"", ""Will Patton"", ""William McNamara"", ""Harry Connick Jr."", ""J.E. Freeman"", ""Dermot Mulroney"", ""John Rothman"", ""Shannon O'Hurley"", ""Bob Greene"", ""Tony Haney"", ""Danny Kovacs"", ""Tahmus Rounds"", ""Scott Devenney"", ""David Michael Silverman""]","[""Mark Tarlov"", ""Jon Amiel"", ""Arnon Milchan"", ""Arnon Milchan"", ""Mark Tarlov"", ""Joseph M. Caracciolo Jr.""]","[""police brutality"", ""psychology"", ""police operation"", ""police protection"", ""serial killer"", ""psychologist"", ""cowardliness""]"
"[""Drama"", ""Romance""]",451,tt0113627,Leaving Las Vegas,"Ben Sanderson, an alcoholic Hollywood screenwriter who lost everything because of his drinking, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-interference pact with prostitute Sera.",/nqc2LaUWB4ePf6IqpJ6D8apBDvn.jpg,10/27/1995,49800000,112,"[""English""]",I Love You... The Way You Are.,Leaving Las Vegas,7.1,365,/zc2NeSqgN8OQIi9IRM3LAj7Wacz.jpg,"[""Nicolas Cage"", ""Elisabeth Shue"", ""Julian Sands"", ""Richard Lewis"", ""Steven Weber"", ""Kim Adams"", ""Emily Procter"", ""Stuart Reynolds"", ""Valeria Golino"", ""Graham Beckel"", ""Mariska Hargitay"", ""Laurie Metcalf"", ""Shawnee Smith"", ""David Kriegel""]","[""Stuart Reynolds"", ""Mike Figgis"", ""Lila Cazès"", ""Paige Simpson"", ""Annie Stewart""]","[""individual"", ""prostitute"", ""alcohol"", ""casino"", ""love at first sight"", ""lovesickness"", ""film producer"", ""screenwriter"", ""hotel room"", ""dying and death"", ""rage and hate"", ""unsociability"", ""alcoholism"", ""los angeles"", ""alcohol abuse"", ""attempted suicide""]"
"[""Drama"", ""Crime""]",9909,tt0112792,Dangerous Minds,"Former Marine Louanne Johnson lands a gig teaching in a pilot program for bright but underachieving teens at a notorious inner-city high school. After having a terrible first day, she decides she must throw decorum to the wind. When Johnson returns to the classroom, she does so armed with a no-nonsense attitude informed by her military training and a fearless determination to better the lives of her students -- no matter what the cost.",/yWHWC8fJRp2kLgiFrEa8o3krOH9.jpg,8/11/1995,180000000,99,"[""English""]",She broke the rules... and changed their lives.,Dangerous Minds,6.4,249,/xSVBNwbntix9UxLtE0i0IjhCJwo.jpg,"[""Michelle Pfeiffer"", ""George Dzundza"", ""Courtney B. Vance"", ""Robin Bartlett"", ""John Neville"", ""Beatrice Winde"", ""Lorraine Toussaint"", ""Renoly Santiago"", ""Wade Dominguez"", ""Bruklin Harris"", ""Mercello Thedford"", ""Roberto Alvarez"", ""Richard Grant"", ""Marisela Gonzales"", ""Toni Nichelle Buzhardt""]","[""Jerry Bruckheimer"", ""Don Simpson"", ""Lucas Foster"", ""Sandra Rabins"", ""Kate Guinzburg"", ""John N. Smith""]","[""rap music"", ""karate"", ""high school"", ""naval officer"", ""teacher"", ""amusement park""]"
"[""Science Fiction"", ""Thriller"", ""Mystery""]",63,tt0114746,Twelve Monkeys,"In the year 2035, convict James Cole reluctantly volunteers to be sent back in time to discover the origin of a deadly virus that wiped out nearly all of the earth's population and forced the survivors into underground communities. But when Cole is mistakenly sent to 1990 instead of 1996, he's arrested and locked up in a mental hospital. There he meets psychiatrist Dr. Kathryn Railly, and patient Jeffrey Goines, the son of a famous virus expert, who may hold the key to the mysterious rogue group, the Army of the 12 Monkeys, thought to be responsible for unleashing the killer disease.",/gt3iyguaCIw8DpQZI1LIN5TohM2.jpg,12/29/1995,168840000,129,"[""English"", ""Français""]",The future is history.,Twelve Monkeys,7.4,2470,/1IWaKG7AWiYMhADxhGtnElDJAGI.jpg,"[""Bruce Willis"", ""Madeleine Stowe"", ""Brad Pitt"", ""Christopher Plummer"", ""David Morse"", ""Jon Seda"", ""Frank Gorshin"", ""Joseph Melito"", ""Aaron Michael Lacey"", ""Christopher Meloni"", ""Joey Perillo"", ""LisaGay Hamilton"", ""Matt Ross"", ""Annie Golden"", ""Michael Chance"", ""Vernon Campbell"", ""H. Michael Walls"", ""Bob Adrian"", ""Simon Jones"", ""Carol Florence"", ""Bill Raymond"", ""Ernest Abuba"", ""Irma St. Paule"", ""Rozwill Young"", ""Nell Johnson"", ""Frederick Strother"", ""Charles Techman"", ""Rick Warner"", ""Anthony 'Chip' Brienza"", ""Bruce Kirkpatrick"", ""Wilfred Williams"", ""Joilet Harris"", ""Drucie McDaniel"", ""John Blaisse"", ""Louis Lippa"", ""Stan Kang"", ""Pat Dias"", ""Felix Pire"", ""Karl Warren"", ""Joseph McKenna"", ""Stephen Bridgewater"", ""Ray Huffman"", ""Charley Scalies"", ""Robert O'Neill"", ""Paul Meshejian"", ""Kevin Thigpen"", ""Harry O'Toole"", ""Jann Ellis"", ""Michael Ryan Segal"", ""Korchenko"", ""Chuck Jeffreys"", ""Barry Price"", ""John Panzarella"", ""Janet Zappala"", ""Lisa Talerico"", ""Tiffany Baldwin"", ""C.J. Byrnes"", ""Tom Detrik"", ""Joe Gerety"", ""Renee Spei"", ""Bonnie Loev"", ""Raymond Mamrak"", ""Sal Mazzotta"", ""Allelon Ruggiero"", ""Thang""]","[""Terry Gilliam"", ""Charles Roven"", ""Robert Cavallo"", ""Gary Levinsohn"", ""Robert Kosberg""]","[""schizophrenia"", ""philadelphia"", ""cassandra syndrom"", ""stockholm syndrome"", ""time travel"", ""post-apocalyptic"", ""dystopia"", ""lethal virus"", ""monkey"", ""subterranean""]"
"[""Comedy"", ""Drama"", ""Romance""]",9603,tt0112697,Clueless,"Shallow, rich and socially successful Cher is at the top of her Beverly Hills high school's pecking scale. Seeing herself as a matchmaker, Cher first coaxes two teachers into dating each other. Emboldened by her success, she decides to give hopelessly klutzy new student Tai a makeover. When Tai becomes more popular than she is, Cher realizes that her disapproving ex-stepbrother was right about how misguided she was -- and falls for him.",/8AwVTcgpTnmeOs4TdTWqcFDXEsA.jpg,7/19/1995,0,97,"[""Español"", ""English""]",Sex. Clothes. Popularity. Is there a problem here?,Clueless,6.9,828,/2FonLz0RPxbBriOlZ9mWhYdlqCp.jpg,"[""Alicia Silverstone"", ""Stacey Dash"", ""Brittany Murphy"", ""Paul Rudd"", ""Donald Faison"", ""Elisa Donovan"", ""Breckin Meyer"", ""Jeremy Sisto"", ""Dan Hedaya"", ""Wallace Shawn"", ""Twink Caplan"", ""Justin Walker"", ""Julie Brown"", ""Nicole Bilderback""]","[""Amy Heckerling"", ""Scott Rudin"", ""Robert Lawrence""]","[""puberty"", ""high school"", ""make a match"", ""spoiled child"", ""gay interest"", ""conflict"", ""woman director""]"
"[""Action"", ""Fantasy""]",9312,tt0113855,Mortal Kombat,"For nine generations an evil sorcerer has been victorious in hand-to-hand battle against his mortal enemies. If he wins a tenth Mortal Kombat tournament, desolation and evil will reign over the multiverse forever. To save Earth, three warriors must overcome seemingly insurmountable odds, their own inner demons, and superhuman foes in this action/adventure movie based on one of the most popular video games of all time.",/fcK7tzSSXMYiMN8E9KlZJL1BYyp.jpg,8/18/1995,122195920,101,"[""English""]",Nothing In This World Has Prepared You For This.,Mortal Kombat,5.4,452,/eDg6HPCnQaUhTOdZB3LzJjpnGtT.jpg,"[""Christopher Lambert"", ""Robin Shou"", ""Linden Ashby"", ""Cary-Hiroyuki Tagawa"", ""Bridgette Wilson"", ""Talisa Soto"", ""Trevor Goddard"", ""Chris Casamassa"", ""François Petit"", ""Keith Cooke"", ""Ed Boon""]","[""Paul W.S. Anderson"", ""Robert Engelman"", ""Lawrence Kasanoff"", ""Lauri Apelian"", ""Alison Savitch"", ""Danny Simon""]","[""martial arts"", ""monster"", ""island"", ""gore"", ""sorcerer"", ""tournament"", ""violence"", ""based on video game"", ""hand to hand combat""]"
"[""Fantasy"", ""Drama"", ""Comedy"", ""Thriller""]",577,tt0114681,To Die For,"Susan wants to work in television and will therefore do anything it takes, even if it means killing her husband. A very dark comedy from independent director Gus Van Sant with a brilliant Nicole Kidman in the leading role.",/aedhsShrlJVhLlwhtlmFJgR4Szs.jpg,5/20/1995,21284514,106,"[""English""]",All she wanted was a little attention.,To Die For,6.7,177,/hkQonhCuDyjRmhFsFrCK0XnW7kk.jpg,"[""Nicole Kidman"", ""Matt Dillon"", ""Joaquin Phoenix"", ""Casey Affleck"", ""Illeana Douglas"", ""Alison Folland"", ""Dan Hedaya"", ""Wayne Knight"", ""David Cronenberg"", ""Kurtwood Smith"", ""Holland Taylor"", ""Susan Traylor"", ""Maria Tucci"", ""Tim Hopper""]","[""Gus Van Sant"", ""Laura Ziskin"", ""Jonathan T. Taplin"", ""Leslie Morgan"", ""Sandy Isaac"", ""Joseph M. Caracciolo Jr.""]","[""adultery"", ""winter"", ""obsession"", ""television"", ""new hampshire"", ""narcissistic personality disorder""]"
"[""Crime"", ""Mystery"", ""Thriller""]",807,tt0114369,Se7en,"Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Sommerset researches each sin in an effort to get inside the killer's mind, while his novice partner, Mills, scoffs at his efforts to unravel the case.",/6yoghtyTpznpBik8EngEmJskVUO.jpg,9/22/1995,327311859,127,"[""English""]",Seven deadly sins. Seven ways to die.,Se7en,8.1,5915,/hWrxRwnnisPE4LJdER3FmdeM39b.jpg,"[""Brad Pitt"", ""Morgan Freeman"", ""Gwyneth Paltrow"", ""John C. McGinley"", ""Kevin Spacey"", ""R. Lee Ermey"", ""Richard Roundtree"", ""Richard Schiff"", ""Julie Araskog"", ""Mark Boone Junior"", ""John Cassini"", ""Reg E. Cathey"", ""Peter Crombie"", ""Hawthorne James"", ""Michael Massee"", ""Leland Orser"", ""Richard Portnow"", ""Daniel Zacapa"", ""Alfonso Freeman"", ""Harris Savides"", ""Andrew Kevin Walker"", ""Richmond Arquette"", ""Pamala Tyson"", ""Emily Wagner"", ""Shannon Wilcox"", ""George Christy"", ""Endre Hules"", ""William Davidson"", ""Bob Collins"", ""Dominique Jennings"", ""Allan Kolman"", ""Gene Borkan"", ""Mario Di Donato"", ""Harrison White"", ""Bob Stephenson"", ""Michael Reid MacKay"", ""Lennie Loftin"", ""Martin Serene"", ""David Correia"", ""Lexie Bigham"", ""Evan Mirand"", ""Paul Eckstein"", ""Rachel Flanagan"", ""Heidi Schanz"", ""Brian Evers"", ""James Deeth"", ""Charles A. Tamburro"", ""Charles S. Dutton"", ""Arthur Max""]","[""David Fincher"", ""Gianni Nunnari"", ""Dan Kolsrud"", ""Arnold Kopelson"", ""Phyllis Carlyle"", ""Anne Kopelson""]","[""self-fulfilling prophecy"", ""detective"", ""s.w.a.t."", ""drug dealer"", ""evisceration"", ""lust and impulsiveness"", ""rage and hate"", ""pride and vanity"", ""immoderateness"", ""insomnia"", ""investigation"", ""pension"", ""police"", ""serial killer""]"
"[""Adventure"", ""Animation"", ""Drama"", ""Family""]",10530,tt0114148,Pocahontas,"History comes gloriously to life in Disney's epic animated tale about love and adventure in the New World. Pocahontas is a Native American woman whose father has arranged for her to marry her village's best warrior. But a vision tells her change is coming, and soon she comes face to face with it in the form of Capt. John Smith.",/kZ1ft0QZ4e3zDUPMBftEkwI9ftd.jpg,6/14/1995,346079773,81,"[""English""]",An American legend comes to life.,Pocahontas,6.7,1509,/9YAVIwBcBrLXeukg2dgMGfYB1uu.jpg,"[""Irene Bedard"", ""Mel Gibson"", ""David Ogden Stiers"", ""John Kassir"", ""Russell Means"", ""Christian Bale"", ""Judy Kuhn"", ""Linda Hunt"", ""Danny Mann"", ""Billy Connolly"", ""Joe Baker"", ""Frank Welker"", ""Michelle St. John"", ""James Apaumut Fall"", ""Gordon Tootoosis"", ""Jim Cummings""]","[""Mike Gabriel"", ""Eric Goldberg"", ""James Pentecost""]","[""culture clash"", ""settler"", ""forbidden love"", ""colony"", ""musical"", ""gold rush"", ""princess"", ""romance"", ""native american"", ""animation"", ""virginia"", ""star crossed lovers"", ""reference to pizarro"", ""jamestown virginia"", ""pug dog"", ""cross cultural relationship"", ""musket"", ""animate tree"", ""indian chief"", ""based on myths or folklore"", ""17th century"", ""shamanism"", ""songs"", ""indians vs. settlers"", ""animal sidekick"", ""powhatan"", ""land claim""]"
